t,angle
0,72.2922389451904
0.05,69.9631159659891
0.1,62.172900448457
0.15,49.183990569266
0.2,31.8827792299433
0.25,11.6000402050274
0.3,-9.2869005395739
0.35,-29.4500598332113
0.4,-46.1414326842752
0.45,-59.836912630263
0.5,-67.7628438856682
0.55,-71.2855936453791
0.6,-69.3632696829951
0.65,-62.0443341626957
0.7,-49.6820889360994
0.75,-32.9878984523079
0.8,-13.5028787637844
0.85,7.30453774835691
0.9,27.6160174411259
0.95,44.9020170923561
1,59.4595786385872
1.05,67.7507813202008
1.1,71.6746932301688
1.15,68.7110807121615
1.2,63.3500622343211
1.25,49.7945445873179
1.3,33.2675210613506
1.35,13.6048488003262
1.4,-6.72112363556432
1.45,-27.7909943606916
1.5,-45.5624237167719
1.55,-58.483995930457
1.6,-67.7003320718118
1.65,-70.6621914556852
1.7,-69.9335174429088
1.75,-62.8535190078895
1.8,-51.0340477848431
1.85,-34.8602887148097
1.9,-15.9195668040553
1.95,6.32233787764799
2,26.0859382698359
2.05,42.6882879059802
2.1,57.5910451838051
2.15,66.8669103957595
2.2,71.4648832350036
2.25,70.1099406692184
2.3,63.1455877610675
2.35,51.8772583915482
2.4,36.2434387165397
2.45,16.870020118985
2.5,-3.85454988389439
2.55,-23.8368172621309
2.6,-42.7263850274286
2.65,-55.8521705536722
2.7,-66.4217363213462
2.75,-71.6579674911392
2.8,-68.8576456723851
2.85,-64.435358531424
2.9,-51.9737606131605
2.95,-36.9278474850689
3,-17.8035797186108
3.05,3.9507923460609
3.1,24.0172789553594
3.15,42.4590447934567
3.2,55.8492788567225
3.25,65.4967997113973
3.3,71.1399259925829
3.35,68.9670188587345
3.4,63.8129574319622
3.45,52.5341279534718
3.5,36.4218768713451
3.55,18.9165991735724
3.6,-1.9062192803145
3.65,-22.7014191696278
3.7,-41.6759167110078
3.75,-56.3195382790168
3.8,-64.8367282507264
3.85,-70.6150907236199
3.9,-69.1769603881317
3.95,-64.7927513889555
4,-53.6254662501869
4.05,-36.829940049106
4.1,-18.9357546447881
4.15,1.59309889589419
4.2,22.7013795885376
4.25,40.5611346259965
4.3,54.0163635971281
4.35,64.7053390425582
4.4,70.1709048552487
4.45,69.5780528039708
4.5,63.751881861476
4.55,52.4583235988077
4.6,38.3205560035924
4.65,19.0768086648506
4.7,-1.2149865910208
4.75,-20.3839939455261
4.8,-40.402229811233
4.85,-55.3123449139042
4.9,-64.0617113970988
4.95,-69.1819353911573
5,-69.3068247326267
5.05,-64.5936000882289
5.1,-53.769572719979
5.15,-38.1773727279133
5.2,-19.4468897121742
5.25,0.645198273337202
5.3,20.3660463464206
5.35,39.3701592811162
5.4,54.6432436266128
5.45,64.646755867769
5.5,69.3772891078619
5.55,68.7694930349971
5.6,64.137284769521
5.65,54.0201364241809
5.7,37.7997465681286
5.75,21.1303047063975
5.8,-0.450676025349587
5.85,-20.7380297921715
5.9,-39.2915024372769
5.95,-53.3458368582906
6,-63.8305705990777
6.05,-68.3868688583108
6.1,-68.7907383256501
6.15,-64.1222289772842
6.2,-53.2935238901433
6.25,-38.0568429827716
6.3,-20.00563453666
6.35,-0.658022725930233
6.4,19.4635023171425
6.45,37.637078661161
6.5,53.7667041298561
6.55,63.3856546426
6.6,68.3517790061088
6.65,68.5812521648315
6.7,64.5157448227883
6.75,53.5258224688423
6.8,37.7362607111636
6.85,20.8612528597489
6.9,-0.700454422870041
6.95,-20.5266844494021
7,-38.6524911228187
7.05,-53.3849736032316
7.1,-62.594714408639
7.15,-69.0595266518405
7.2,-68.4181668070366
7.25,-63.5789754157238
7.3,-53.3498324281639
7.35,-37.6277923430881
7.4,-21.3110656754672
7.45,-0.0326089774812017
7.5,20.7269801313131
7.55,37.3533146189461
7.6,53.7859725372063
7.65,62.8737276288524
7.7,68.9961646814073
7.75,69.486185774794
7.8,64.0496070091181
7.85,53.77406513819
7.9,38.9305984197804
7.95,19.3923242024415
8,-0.0618322126386541
8.05,-20.0870002637561
8.1,-38.7812703953408
8.15,-52.1581779519437
